anime,title,number,released,video,type,host,status,thumbnail
Suki na Ko ga Megane wo Wasureta,Suki na Ko ga Megane wo Wasureta Episode 1,1,,https://filemoon.sx/e/bxr9tt3bq5f5/The_Girl_I_Like_Forgot_Her_Glasses_S01E01_VOSTFR_1080p_WEB_AAC_-Tsundere-Raws__CR_;https://embedwish.com/e/oonjr51jinnm,sub;sub,FileMoon;StreamWISH,publish,
Suki na Ko ga Megane wo Wasureta,Suki na Ko ga Megane wo Wasureta Episode 2,2,,https://filemoon.sx/e/64bmlhoyex2e/The_Girl_I_Like_Forgot_Her_Glasses_S01E02_VOSTFR_1080p_WEB_AAC_-Tsundere-Raws__CR_;https://embedwish.com/e/3oidj0whloyz,sub;sub,FileMoon;StreamWISH,publish,
Suki na Ko ga Megane wo Wasureta,Suki na Ko ga Megane wo Wasureta Episode 3,3,,https://filemoon.sx/e/hbhgcn1j92kk/The_Girl_I_Like_Forgot_Her_Glasses_S01E03_VOSTFR_1080p_WEB_AAC_-Tsundere-Raws__CR_;https://embedwish.com/e/9amkihwm38fj,sub;sub,FileMoon;StreamWISH,publish,
Suki na Ko ga Megane wo Wasureta,Suki na Ko ga Megane wo Wasureta Episode 4,4,,https://filemoon.sx/e/i4uprgxtwpm0/The_Girl_I_Like_Forgot_Her_Glasses_S01E04_VOSTFR_1080p_WEB_AAC_-Tsundere-Raws__CR_;https://embedwish.com/e/oafu99wvlr2z,sub;sub,FileMoon;StreamWISH,publish,
Suki na Ko ga Megane wo Wasureta,Suki na Ko ga Megane wo Wasureta Episode 5,5,,https://filemoon.sx/e/wnivgi2qfjvx/The_Girl_I_Like_Forgot_Her_Glasses_S01E05_VOSTFR_1080p_WEB_AAC_-Tsundere-Raws__CR_;https://embedwish.com/e/sm4hgrxenupj,sub;sub,FileMoon;StreamWISH,publish,
